id,label
id_1,0
id_2,0
id_3,0
id_4,1
id_5,0
id_6,0
id_7,0
id_8,1
id_9,0
id_10,0
id_11,1
id_12,1
id_13,0
id_14,0
id_15,1
id_16,1
id_17,0
id_18,0
id_19,0
id_20,1
id_21,1
id_22,0
id_23,0
id_24,0
id_25,1
id_26,1
id_27,0
id_28,0
id_29,0
id_30,0
id_31,1
id_32,0
id_33,0
id_34,0
id_35,0
id_36,0
id_37,1
id_38,0
id_39,0
id_40,0
id_41,1
id_42,1
id_43,0
id_44,0
id_45,0
id_46,1
id_47,0
id_48,1
id_49,0
id_50,0
id_51,0
id_52,0
id_53,0
id_54,1
id_55,0
id_56,0
id_57,0
id_58,1
id_59,1
id_60,0
id_61,0
id_62,0
id_63,0
id_64,0
id_65,0
id_66,0
id_67,1
id_68,0
id_69,0
id_70,0
id_71,1
id_72,1
id_73,0
id_74,0
id_75,0
id_76,0
id_77,0
id_78,1
id_79,0
id_80,0
id_81,0
id_82,0
id_83,0
id_84,1
id_85,0
id_86,0
id_87,0
id_88,1
id_89,0
id_90,1
id_91,0
id_92,0
id_93,1
id_94,0
id_95,0
id_96,0
id_97,0
id_98,0
id_99,0
id_100,0
id_101,0
id_102,0
id_103,0
id_104,0
id_105,0
id_106,0
id_107,0
id_108,1
id_109,0
id_110,0
id_111,0
id_112,0
id_113,1
id_114,0
id_115,0
id_116,0
id_117,0
id_118,0
id_119,0
id_120,0
id_121,0
id_122,0
id_123,0
id_124,0
id_125,0
id_126,0
id_127,1
id_128,0
id_129,0
id_130,1
id_131,0
id_132,0
id_133,0
id_134,1
id_135,0
id_136,0
id_137,0
id_138,0
id_139,0
id_140,0
id_141,1
id_142,0
id_143,1
id_144,1
id_145,0
id_146,0
id_147,0
id_148,0
id_149,1
id_150,1
id_151,0
id_152,0
id_153,0
id_154,0
id_155,1
id_156,0
id_157,0
id_158,0
id_159,0
id_160,0
id_161,0
id_162,0
id_163,0
id_164,0
id_165,1
id_166,1
id_167,1
id_168,0
id_169,0
id_170,0
id_171,1
id_172,0
id_173,0
id_174,1
id_175,0
id_176,1
id_177,0
id_178,0
id_179,0
id_180,1
id_181,1
id_182,1
id_183,0
id_184,0
id_185,0
id_186,0
id_187,0
id_188,0
id_189,0
id_190,0
id_191,1
id_192,0
id_193,0
id_194,0
id_195,0
id_196,0
id_197,0
id_198,1
id_199,0
id_200,0
id_201,0
id_202,1
id_203,0
id_204,0
id_205,1
id_206,1
id_207,0
id_208,0
id_209,1
id_210,1
id_211,0
id_212,0
id_213,1
id_214,1
id_215,0
id_216,0
id_217,0
id_218,0
id_219,0
id_220,0
id_221,1
id_222,0
id_223,0
id_224,1
id_225,1
id_226,0
id_227,1
id_228,1
id_229,0
id_230,0
id_231,0
id_232,1
id_233,0
id_234,0
id_235,0
id_236,0
id_237,1
id_238,0
id_239,0
id_240,0
id_241,0
id_242,1
id_243,0
id_244,0
id_245,0
id_246,0
id_247,0
id_248,0
id_249,1
id_250,0
id_251,0
id_252,0
id_253,1
id_254,0
id_255,0
id_256,0
id_257,1
id_258,0
id_259,0
id_260,1
id_261,1
id_262,0
id_263,0
id_264,0
id_265,0
id_266,1
id_267,0
id_268,0
id_269,0
id_270,0
id_271,1
id_272,0
id_273,1
id_274,0
id_275,0
id_276,0
id_277,0
id_278,0
id_279,1
id_280,0
id_281,0
id_282,0
id_283,0
id_284,0
id_285,1
id_286,0
id_287,0
id_288,1
id_289,1
id_290,0
id_291,1
id_292,0
id_293,0
id_294,0
id_295,0
id_296,0
id_297,0
id_298,0
id_299,1
id_300,0
id_301,0
id_302,0
id_303,0
id_304,0
id_305,0
id_306,0
id_307,0
id_308,0
id_309,1
id_310,1
id_311,1
id_312,0
id_313,0
id_314,1
id_315,1
id_316,0
id_317,0
id_318,0
id_319,1
id_320,0
id_321,0
id_322,1
id_323,0
id_324,0
id_325,0
id_326,1
id_327,0
id_328,0
id_329,0
id_330,1
id_331,0
id_332,0
id_333,0
id_334,1
id_335,1
id_336,0
id_337,0
id_338,0
id_339,0
id_340,0
id_341,0
id_342,1
id_343,0
id_344,1
id_345,1
id_346,0
id_347,1
id_348,1
id_349,0
id_350,0
id_351,0
id_352,0
id_353,0
id_354,0
id_355,1
id_356,1
id_357,0
id_358,1
id_359,0
id_360,0
id_361,0
id_362,0
id_363,0
id_364,0
id_365,0
id_366,1
id_367,1
id_368,1
id_369,1
id_370,0
id_371,1
id_372,0
id_373,0
id_374,1
id_375,0
id_376,1
id_377,1
id_378,0
id_379,0
id_380,0
id_381,0
id_382,0
id_383,1
id_384,0
id_385,1
id_386,0
id_387,0
id_388,0
id_389,0
id_390,1
id_391,0
id_392,0
id_393,0
id_394,0
id_395,1
id_396,0
id_397,1
id_398,0
id_399,1
id_400,1
id_401,0
id_402,0
id_403,0
id_404,0
id_405,0
id_406,0
id_407,0
id_408,0
id_409,0
id_410,1
id_411,0
id_412,0
id_413,0
id_414,0
id_415,0
id_416,0
id_417,0
id_418,0
id_419,1
id_420,0
id_421,0
id_422,0
id_423,0
id_424,0
id_425,0
id_426,0
id_427,0
id_428,0
id_429,0
id_430,0
id_431,1
id_432,0
id_433,0
id_434,0
id_435,0
id_436,1
id_437,1
id_438,0
id_439,1
id_440,1
id_441,1
id_442,1
id_443,0
id_444,1
id_445,0
id_446,1
id_447,1
id_448,0
id_449,0
id_450,0
id_451,0
id_452,0
id_453,1
id_454,0
id_455,0
id_456,0
id_457,0
